Logan Tillman,,,,,,,,
Wrap:,TRUE,,,,,,,
K(states):,5,,,,,,,
Radius:,1,,,,,,,
Quiescence:,TRUE,,,,,,,
random seed:,1643824889,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment #:,0,,,,,,,
Rule:,3.11E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
4,1,3,0.552,0.615384615,1.597622873,1.76049503,,Triangle chaos
5,3,1,0.472,0.538461538,1.562403269,1.738149333,,Dies off
6,2,1,0.424,0.461538462,1.324044763,1.419556299,,Dies off
7,11,1,0.4,0.384615385,1.259721832,1.238901257,,Dies off
8,8,1,0.28,0.307692308,1.09712457,1.140115679,,Dies off
9,9,1,0.2,0.230769231,0.721928095,0.779349837,,Dies off
10,12,1,0.192,0.153846154,0.705636606,0.619382195,,Dies off
11,5,1,0.048,0.076923077,0.277839574,0.391243564,,Dies off
12,10,1,0,0,0,0,,Dies off
,,,,,,,,
,,,,,,,,
Experiment #:,47,,,,,,,
Rule:,2.14E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,2,0.992,0.923076923,1.508725523,1.88109476,,Cool laser lines end in stripes
1,12,3,0.984,0.846153846,1.554174237,2.045841641,,Varied triangles
2,7,3,0.84,0.769230769,1.95615911,2.133937566,,Varied triangles
3,9,3,0.76,0.692307692,1.89576811,2.038159682,,Varied triangles
4,1,3,0.736,0.615384615,1.915388251,2.038159682,,Varied triangles
5,3,2,0.656,0.538461538,1.64622747,1.738149333,,Repeated lines
6,11,2,0.632,0.461538462,1.518230846,1.419556299,,Repeated lines
7,4,2,0.512,0.384615385,1.493767734,1.334679141,,Repeated lines
8,2,1,0.464,0.307692308,1.419630004,1.140115679,,Dies off
9,10,1,0.416,0.230769231,1.373521713,0.991264261,,Dies off
10,8,1,0.296,0.153846154,1.172190243,0.773228349,,Dies off
11,5,1,0.152,0.076923077,0.614822757,0.391243564,,Dies off
12,6,1,0,0,0,0,,Dies off
,,,,,,,,
,,,,,,,,
Experiment #:,48,,,,,,,
Rule:,3.24E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,3,0.992,0.923076923,1.981937626,2.199687795,,Cool wavy patterns
1,2,3,0.944,0.846153846,2.107812007,2.257756064,,Cool wavy patterns
2,1,3,0.92,0.769230769,2.136709762,2.199687795,,Cool wavy patterns
3,12,3,0.912,0.692307692,2.143249809,2.10390991,,Chaotic triangles
4,8,3,0.792,0.615384615,2.278513738,2.075869297,,Chaotic triangles
5,11,3,0.768,0.538461538,2.282102018,1.987773371,,Chaotic triangles
6,5,3,0.624,0.461538462,1.9210974,1.669180337,,Chaotic triangles
7,3,3,0.544,0.384615385,1.84055632,1.546593564,,Chaotic triangles
8,6,3,0.392,0.307692308,1.562911582,1.352030102,,Chaotic triangles
9,10,3,0.344,0.230769231,1.46017985,1.145110414,,Chaotic triangles
10,4,1,0.224,0.153846154,0.978028471,0.773228349,,Dies off
11,9,1,0.144,0.076923077,0.594619344,0.391243564,,Dies off
12,7,1,0,0,0,0,,Dies off
,,,,,,,,
,,,,,,,,
Experiment #:,49,,,,,,,
Rule:,4.13E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,3,0.992,0.923076923,1.944185012,2.199687795,,Static
1,10,3,0.944,0.846153846,2.066816736,2.199687795,,Static
2,5,3,0.8,0.769230769,2.287696402,2.23739741,,Static
3,6,3,0.648,0.692307692,2.06308311,2.199687795,,Yellow and black triangles
4,7,3,0.504,0.615384615,1.63199087,1.922023143,,Yellow and black triangles
5,11,3,0.48,0.538461538,1.59604445,1.833927218,,Yellow and black triangles
6,9,3,0.4,0.461538462,1.497812505,1.727248606,,Yellow and black triangles
7,4,3,0.28,0.384615385,1.223986481,1.546593564,,Yellow and black triangles
8,1,3,0.256,0.307692308,1.096986555,1.352030102,,Blue stripe over chaotic triangles
9,8,3,0.136,0.230769231,0.739729035,1.145110414,,Yellow and black triangles
10,3,1,0.056,0.153846154,0.344491046,0.773228349,,Dies off
11,12,1,0.048,0.076923077,0.277839574,0.391243564,,Dies off
12,2,1,0,0,0,0,,Dies off
