step,fitness,genome
0,0.016985567133922137,"[1 0 1 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 1 1 0 1 1 0 0 0 0 0 0 1]"
0,0.666676033623104,"[1 1 1 1 0 1 0 1 1 1 0 1 0 0 1 1 1 1 1 1 1 0 1 1 1 0 0 1 0 1 0 1 0 0 1 1 0 0 1 1]"
0,0.12122376602638883,"[1 1 0 0 1 1 1 1 0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1 0 1 0 0 1 0 1 1 1 0 0 0 1 1 0 1]"
0,0.031661911231393114,"[1 0 1 1 0 1 0 1 0 1 0 0 0 0 0 1 1 0 1 0 1 1 0 0 0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 1]"
0,0.6666760853496513,"[1 1 1 1 0 1 0 1 1 1 0 1 0 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 0 1 0 0 1 1 0 0 1 1]"
0,0.9321811598560674,"[1 1 1 1 1 1 1 0 0 0 1 1 0 1 0 1 0 1 0 1 1 1 0 1 1 0 0 0 1 1 0 0 0 1 1 0 0 1 1 0]"
0,0.05090416400095537,"[1 0 1 1 1 1 1 0 0 0 0 1 0 0 1 0 0 0 0 1 1 1 0 0 1 1 1 0 0 1 0 1 1 0 1 1 0 0 0 0]"
0,0.24277626102759478,"[1 1 0 1 1 1 1 0 0 0 1 1 0 1 0 1 0 1 0 1 1 1 0 1 1 0 0 0 1 1 1 0 0 0 1 0 1 1 0 0]"
0,0.6666628434714317,"[1 1 1 1 0 1 0 1 1 1 0 1 0 0 1 1 1 1 0 1 1 0 1 1 1 0 1 1 0 1 0 1 0 0 1 1 0 0 1 1]"
0,0.1215897468542332,"[1 1 0 0 1 1 1 1 0 1 0 1 1 1 0 0 1 0 1 1 1 0 1 1 0 1 0 0 1 0 1 1 1 0 0 0 1 0 0 1]"
0,0.9324676872935419,"[1 1 1 1 1 1 1 0 0 0 1 1 0 1 1 1 0 1 0 1 1 1 0 1 1 0 0 0 1 1 1 0 0 0 1 0 0 1 1 0]"
0,0.4822459003082389,"[1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 0 0 1 0 0 1 1 1 1 1 0 1 1 0 0 1 1 1 0 0 0 0 0]"
0,0.666676085753765,"[1 1 1 1 0 1 0 1 1 1 0 1 0 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 0 1 0 1 1 1 0 0 1 1]"
0,0.0004365365714603897,"[0 1 1 1 0 1 1 0 0 0 0 1 1 0 0 1 0 0 0 0 1 1 0 1 0 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1]"
0,0.03166192117461168,"[1 0 1 1 0 1 0 1 0 1 0 0 0 0 0 1 1 0 1 0 1 1 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1]"
0,0.6666760853496513,"[1 1 1 1 0 1 0 1 1 1 0 1 0 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 0 1 0 0 1 1 0 0 1 1]"
