step,fitness,genome
0,9.095663681006151e-05,"[0 1 1 0 0 1 0 0 1 1 1 1 0 1 0 0 0 0 1 1 0 1 1 1 0 1 1 0 1 0 1 0 0 1 1 1 0
 1 1 0]"
0,0.16949927735389456,"[1 1 0 1 0 1 1 0 0 1 0 1 1 1 0 1 1 1 0 0 1 1 0 1 1 0 0 0 1 1 0 0 0 1 1 0 0
 0 0 1]"
0,0.5171682166486123,"[1 1 1 0 1 1 1 1 1 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 1 0 0 0 1
 0 0 0]"
0,0.0010040776642267779,"[1 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1 0 0 1 0 1 1 0 0 1 1 1 0 1 0 1 0 0 0 0 1 1
 0 0 1]"
0,0.0009050227825547809,"[0 1 1 1 1 1 1 1 0 0 0 0 0 1 1 1 1 0 1 0 0 1 1 0 1 1 0 0 0 0 1 1 1 1 1 1 1
 1 0 1]"
0,0.4142805868485335,"[1 1 1 0 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 0 0 0 1 1
 0 1 0]"
0,0.0005003959329879683,"[0 1 1 1 0 1 1 1 1 0 1 1 1 0 0 0 1 0 1 0 0 1 0 1 1 0 1 0 0 1 0 0 1 0 1 0 1
 0 1 1]"
0,0.010183980840000325,"[1 0 1 0 0 0 0 1 1 1 0 1 0 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1
 0 0 1]"
0,0.32740261404297494,"[1 1 1 0 0 1 0 0 1 1 1 1 0 1 0 0 0 0 1 1 0 1 1 1 0 1 1 0 1 0 1 0 0 1 1 0 0
 1 1 0]"
0,0.4153865134761328,"[1 1 1 0 1 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 0 0 0 1 1
 0 0 0]"
0,0.0005003959329101159,"[0 1 1 1 0 1 1 1 1 0 1 1 1 0 0 0 1 0 1 0 0 1 0 1 1 0 1 0 0 1 0 0 1 0 1 0 0
 0 1 1]"
0,0.4142805868403036,"[1 1 1 0 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 0 0 0 1 1
 0 0 0]"
0,0.3274043596975654,"[1 1 1 0 0 1 0 0 1 1 1 1 0 1 0 0 0 0 1 1 1 1 1 1 0 1 1 0 1 0 1 0 0 1 1 1 0
 1 1 0]"
0,0.0017766549857512492,"[1 0 0 0 0 1 1 1 1 1 1 0 0 1 0 0 1 1 0 1 1 1 0 1 0 0 0 0 1 0 1 0 1 0 0 1 1
 1 0 1]"
0,0.010183980840000325,"[1 0 1 0 0 0 0 1 1 1 0 1 0 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1
 0 0 1]"
0,0.0017766549857512492,"[1 0 0 0 0 1 1 1 1 1 1 0 0 1 0 0 1 1 0 1 1 1 0 1 0 0 0 0 1 0 1 0 1 0 0 1 1
 1 0 1]"
0,0.3274026140962463,"[1 1 1 0 0 1 0 0 1 1 1 1 0 1 0 0 0 0 1 1 0 1 1 1 0 1 1 0 1 0 1 0 0 1 1 1 0
 1 1 0]"
0,4.335070229807114e-09,"[0 0 1 0 0 1 0 1 0 1 0 1 0 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1
 0 0 1]"
0,0.4142805868403036,"[1 1 1 0 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 0 0 0 1 1
 0 0 0]"
0,0.3274026140962463,"[1 1 1 0 0 1 0 0 1 1 1 1 0 1 0 0 0 0 1 1 0 1 1 1 0 1 1 0 1 0 1 0 0 1 1 1 0
 1 1 0]"
0,0.1704902484717329,"[1 1 0 1 0 1 1 0 0 1 1 1 1 1 0 1 1 1 0 0 1 1 0 1 1 0 0 0 1 1 0 0 0 1 1 1 0
 0 0 1]"
0,0.4142805868403036,"[1 1 1 0 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 0 0 0 1 1
 0 0 0]"
0,0.002152759991255829,"[1 0 0 0 1 0 1 0 1 0 0 0 0 1 1 1 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0
 0 0 0]"
0,0.0017766549857512492,"[1 0 0 0 0 1 1 1 1 1 1 0 0 1 0 0 1 1 0 1 1 1 0 1 0 0 0 0 1 0 1 0 1 0 0 1 1
 1 0 1]"
0,0.0007943257371147878,"[0 1 1 1 1 1 0 1 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 1 0 1 1 0 0 0 0 0 0
 1 1 1]"
step,fitness,genome
1,0.3274043596975654,"[1 1 1 0 0 1 0 0 1 1 1 1 0 1 0 0 0 0 1 1 1 1 1 1 0 1 1 0 1 0 1 0 0 1 1 1 0
 1 1 0]"
1,0.6433500611324718,"[1 1 1 1 0 1 0 0 1 1 1 1 0 1 0 0 0 0 1 1 1 1 1 1 0 1 1 0 1 0 1 0 0 1 1 1 0
 1 1 0]"
1,0.357686004856273,"[1 1 1 0 0 1 1 0 1 1 1 1 1 1 0 1 0 0 0 0 0 1 1 1 0 1 1 0 1 0 1 0 0 1 1 1 0
 0 1 0]"
1,0.3797610752653697,"[1 1 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 1 1 1 0 1 0 0 1 0 1
 1 1 0]"
1,0.4142805868403036,"[1 1 1 0 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 0 0 0 1 1
 0 0 0]"
1,0.9869595891371947,"[1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 1 0 0 0 1
 0 0 0]"
1,0.4142805889553915,"[1 1 1 0 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 1 1 0 0 0 1 1
 0 1 0]"
1,0.3274026140962463,"[1 1 1 0 0 1 0 0 1 1 1 1 0 1 0 0 0 0 1 1 0 1 1 1 0 1 1 0 1 0 1 0 0 1 1 1 0
 1 1 0]"
1,0.5171682166486123,"[1 1 1 0 1 1 1 1 1 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 1 0 0 0 1
 0 0 0]"
1,0.4142806205500323,"[1 1 1 0 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 1 1 0 1 0 0 0 1 1
 0 0 0]"
1,0.3274017413253635,"[1 1 1 0 0 1 0 0 1 1 1 1 0 1 0 0 0 0 1 1 0 0 1 1 0 1 1 0 1 0 1 0 0 1 1 1 1
 1 1 0]"
1,0.4153875946810054,"[1 1 1 0 1 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 1 1 0 1 0 0 0 0 0
 0 0 0]"
1,0.4142805868403036,"[1 1 1 0 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 0 0 0 1 1
 0 0 0]"
1,0.3274043596975654,"[1 1 1 0 0 1 0 0 1 1 1 1 0 1 0 0 0 0 1 1 1 1 1 1 0 1 1 0 1 0 1 0 0 1 1 1 0
 1 1 0]"
1,0.5171682166486123,"[1 1 1 0 1 1 1 1 1 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 1 0 0 0 1
 0 0 0]"
1,0.5171682166486123,"[1 1 1 0 1 1 1 1 1 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 1 0 0 0 1
 0 0 0]"
1,0.32740261404297494,"[1 1 1 0 0 1 0 0 1 1 1 1 0 1 0 0 0 0 1 1 0 1 1 1 0 1 1 0 1 0 1 0 0 1 1 0 0
 1 1 0]"
1,0.4153865134761328,"[1 1 1 0 1 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 0 0 0 1 1
 0 0 0]"
1,0.002152759991255829,"[1 0 0 0 1 0 1 0 1 0 0 0 0 1 1 1 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0
 0 0 0]"
1,0.4142805868403036,"[1 1 1 0 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 0 0 0 1 1
 0 0 0]"
1,0.01026276287626389,"[1 0 1 0 0 0 0 1 1 1 1 1 0 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 0 0 0 0 0 1 0 1 1
 0 0 1]"
1,0.41318175058720435,"[1 1 1 0 1 0 1 0 0 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 1 1 0 1 1 1 0 1 1 0 1 1 1
 0 0 0]"
1,0.4142805868403036,"[1 1 1 0 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 0 0 0 1 1
 0 0 0]"
1,0.4153865134761328,"[1 1 1 0 1 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 0 0 0 1 1
 0 0 0]"
1,0.32740261404297494,"[1 1 1 0 0 1 0 0 1 1 1 1 0 1 0 0 0 0 1 1 0 1 1 1 0 1 1 0 1 0 1 0 0 1 1 0 0
 1 1 0]"
step,fitness,genome
2,0.8017791045423205,"[1 1 1 1 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 1 1 0 1 0 0 0 1 1
 0 0 0]"
2,0.9869595891371947,"[1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 1 0 0 0 1
 0 0 0]"
2,0.017141661671080416,"[1 0 1 0 1 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 1 1 0 1 0 0 0 0 1
 0 0 0]"
2,0.4153865134431341,"[1 1 1 0 1 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 0 0 0 1 0
 0 0 0]"
2,0.41428072167923324,"[1 1 1 0 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 1 1 0 1 0 0 0 1 1
 0 0 0]"
2,0.6433500611324718,"[1 1 1 1 0 1 0 0 1 1 1 1 0 1 0 0 0 0 1 1 1 1 1 1 0 1 1 0 1 0 1 0 0 1 1 1 0
 1 1 0]"
2,0.6404831951432955,"[1 1 1 1 0 1 0 0 1 1 0 1 1 0 0 0 0 0 1 1 1 1 1 1 0 1 1 0 1 1 1 0 0 0 0 1 0
 0 1 0]"
2,0.5222480534620546,"[1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 1 1 1 0 1
 1 0 0]"
2,0.42334346530009775,"[1 1 1 0 1 0 1 0 1 1 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 0 0 0 0 0
 0 0 0]"
2,0.5076401215940096,"[1 1 1 0 1 1 1 1 0 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 1 1 0 1 1 0 0 0 1
 0 0 0]"
2,0.4142805868403036,"[1 1 1 0 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 0 0 0 1 1
 0 0 0]"
2,0.5171688751838107,"[1 1 1 0 1 1 1 1 1 0 1 0 1 0 1 0 0 0 0 0 1 0 1 0 0 1 0 1 1 1 0 1 1 0 0 0 1
 0 0 0]"
2,0.8037835274475081,"[1 1 1 1 1 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 1 1 0 1 0 0 0 0 0
 0 0 0]"
2,0.5171682166486123,"[1 1 1 0 1 1 1 1 1 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 1 0 0 0 1
 0 0 0]"
2,0.5171682166486123,"[1 1 1 0 1 1 1 1 1 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 1 0 0 0 1
 0 0 0]"
2,0.5171787533023489,"[1 1 1 0 1 1 1 1 1 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0 0 1 0 1 1 1 0 1 1 0 0 0 1
 0 0 0]"
2,0.9869595891731472,"[1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 1 0 0 0 1
 1 0 0]"
2,0.9869595523217927,"[1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 1 1 0 0 0 1
 0 0 0]"
2,0.6433500611324718,"[1 1 1 1 0 1 0 0 1 1 1 1 0 1 0 0 0 0 1 1 1 1 1 1 0 1 1 0 1 0 1 0 0 1 1 1 0
 1 1 0]"
2,0.5171682166486123,"[1 1 1 0 1 1 1 1 1 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 1 0 0 0 1
 0 0 0]"
