step,fitness,genome
0,0.08297252042424814,"[1 1 0 0 0 1 1 1 1 0 0 1 0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0
 0 1 0]"
0,0.016321533579615084,"[1 0 1 0 1 0 0 1 1 0 1 0 0 0 1 0 1 0 0 1 1 1 1 0 1 0 1 0 1 1 1 0 0 0 0 0 1
 1 1 0]"
0,0.028868094698672523,"[1 0 1 1 0 0 1 1 1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0
 1 1 1]"
0,0.5688151930644104,"[1 1 1 1 0 0 0 1 1 1 1 1 0 1 0 0 1 1 0 1 0 1 0 1 1 0 0 0 1 0 0 0 1 0 0 1 1
 0 1 0]"
0,0.08621515171930685,"[1 1 0 0 1 0 0 0 0 1 0 1 1 0 1 0 1 0 1 0 1 0 0 1 0 0 0 0 1 0 1 1 0 0 1 1 0
 0 1 0]"
0,0.7946857962937238,"[1 1 1 1 1 0 1 0 0 0 1 0 1 1 1 1 0 0 0 1 1 0 0 1 1 1 0 1 0 0 0 0 0 1 1 0 1
 1 0 1]"
0,0.7619824759385243,"[1 1 1 1 1 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 1 0 1 0 1
 1 0 1]"
0,0.7946857962937238,"[1 1 1 1 1 0 1 0 0 0 1 0 1 1 1 1 0 0 0 1 1 0 0 1 1 1 0 1 0 0 0 0 0 1 1 0 1
 1 0 1]"
0,0.9199738301610804,"[1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 0 0 0 1 1 0 0 1 0 0 1 0 1 0 0 1 1 1
 1 0 0]"
0,0.9199738301610804,"[1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 0 0 0 1 1 0 0 1 0 0 1 0 1 0 0 1 1 1
 1 0 0]"
0,0.4356142392741181,"[1 1 1 0 1 0 1 1 1 0 0 1 0 1 1 0 0 0 0 1 1 1 0 0 1 1 0 0 0 0 0 1 1 0 1 1 0
 1 1 0]"
0,0.7619824759385243,"[1 1 1 1 1 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 1 0 1 0 1
 1 0 1]"
0,0.33931802171718817,"[1 1 1 0 0 1 0 1 1 1 0 0 0 1 1 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1
 0 0 1]"
0,0.005867524623800433,"[1 0 0 1 1 0 0 1 0 0 1 0 0 0 1 1 1 0 0 0 1 1 0 1 0 1 1 0 1 1 0 1 1 1 1 0 0
 0 0 1]"
0,0.7619227414378449,"[1 1 1 1 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 1 0 1 0 1
 1 0 1]"
0,0.43565035514874795,"[1 1 1 0 1 0 1 1 1 0 0 1 0 1 1 0 1 0 0 1 1 1 0 0 1 1 0 0 0 0 0 1 1 0 1 1 0
 1 1 0]"
0,0.7770700882661461,"[1 1 1 1 1 0 0 1 1 0 0 1 1 1 1 1 1 0 1 1 0 0 0 1 0 0 1 0 0 1 0 1 0 0 1 0 1
 1 0 0]"
0,0.9404764946235014,"[1 1 1 1 1 1 1 0 0 1 1 0 1 1 1 1 0 0 0 0 1 0 1 1 1 1 0 1 0 0 0 0 0 1 1 1 1
 1 0 1]"
0,8.800959789615791e-05,"[0 1 1 0 0 1 0 0 1 0 0 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 0 0 0 0 0 0 1 0 0 0 1
 0 0 1]"
0,0.4896276958098098,"[1 1 1 0 1 1 1 0 0 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 0 0 1 1
 1 0 1]"
0,0.9199738301610804,"[1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 0 0 0 1 1 0 0 1 0 0 1 0 1 0 0 1 1 1
 1 0 0]"
0,2.6729186152692258e-05,"[0 1 0 1 1 0 0 1 0 1 0 1 0 0 0 1 0 1 1 0 0 0 1 0 0 1 0 1 1 1 1 0 1 0 1 1 0
 0 0 1]"
0,0.7946857962937238,"[1 1 1 1 1 0 1 0 0 0 1 0 1 1 1 1 0 0 0 1 1 0 0 1 1 1 0 1 0 0 0 0 0 1 1 0 1
 1 0 1]"
0,0.028868128426865564,"[1 0 1 1 0 0 1 1 1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 1 1
 1 1 0]"
0,0.7946857962937238,"[1 1 1 1 1 0 1 0 0 0 1 0 1 1 1 1 0 0 0 1 1 0 0 1 1 1 0 1 0 0 0 0 0 1 1 0 1
 1 0 1]"
0,0.4896276958098098,"[1 1 1 0 1 1 1 0 0 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 0 0 1 1
 1 0 1]"
0,0.56838289100701,"[1 1 1 1 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 0 1
 1 1 0]"
0,0.016321533579615084,"[1 0 1 0 1 0 0 1 1 0 1 0 0 0 1 0 1 0 0 1 1 1 1 0 1 0 1 0 1 1 1 0 0 0 0 0 1
 1 1 0]"
0,0.028868128426865564,"[1 0 1 1 0 0 1 1 1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 1 1
 1 1 0]"
0,0.9199738301610804,"[1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 0 0 0 1 1 0 0 1 0 0 1 0 1 0 0 1 1 1
 1 0 0]"
0,0.7619824759385243,"[1 1 1 1 1 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 1 0 1 0 1
 1 0 1]"
0,0.56838289100701,"[1 1 1 1 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 0 1
 1 1 0]"
0,0.08823204615051837,"[1 1 0 0 1 0 0 0 1 1 0 1 0 0 0 1 0 1 1 0 0 1 1 1 0 1 0 1 0 0 1 0 1 1 0 0 1
 1 0 1]"
0,0.08297252042424814,"[1 1 0 0 0 1 1 1 1 0 0 1 0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0
 0 1 0]"
0,0.045077494702550056,"[1 0 1 1 1 0 1 1 1 1 0 0 0 1 1 0 0 0 1 1 0 0 1 0 1 0 0 1 1 0 0 0 1 0 0 0 0
 0 1 0]"
0,0.7619824818633283,"[1 1 1 1 1 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 1 1 0 1 0 0 1 1 1 1 1 0 1
 1 0 1]"
0,0.7619824759385243,"[1 1 1 1 1 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 1 0 1 0 1
 1 0 1]"
0,0.5688146997878978,"[1 1 1 1 0 0 0 1 1 1 1 1 0 1 0 0 1 1 0 1 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0
 0 1 1]"
0,0.08823204615051837,"[1 1 0 0 1 0 0 0 1 1 0 1 0 0 0 1 0 1 1 0 0 1 1 1 0 1 0 1 0 0 1 0 1 1 0 0 1
 1 0 1]"
0,0.46631073730576195,"[1 1 1 0 1 1 0 1 0 0 1 1 0 0 1 0 0 0 1 1 0 0 1 0 0 1 0 0 0 1 1 1 1 0 0 0 0
 1 1 1]"
0,0.6652744603359028,"[1 1 1 1 0 1 0 1 1 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 0 0 1 0 1 1 0 0 0 0
 0 0 1]"
0,0.08376650371565944,"[1 1 0 0 0 1 1 1 1 1 0 0 0 1 1 1 0 0 0 1 0 1 1 1 0 0 1 1 0 1 0 0 1 1 1 0 0
 1 1 1]"
0,0.31097231151860444,"[1 1 1 0 0 0 1 1 1 1 0 0 0 1 1 1 0 0 1 1 0 1 1 1 0 1 1 1 0 1 0 0 1 1 1 1 0
 1 1 1]"
0,0.2582579181704815,"[1 1 0 1 1 1 1 1 1 0 0 1 0 1 1 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0
 1 1 0]"
0,0.08767904452151802,"[1 1 0 0 1 0 0 0 1 0 1 1 0 0 0 1 0 0 0 1 0 1 1 1 0 1 0 1 0 0 1 0 0 1 0 0 1
 1 1 1]"
0,0.01644338489036548,"[1 0 1 0 1 0 0 1 1 1 0 0 0 0 1 0 1 1 1 0 1 1 1 0 1 0 1 0 1 1 1 0 1 0 0 0 1
 1 0 0]"
