step,fitness,genome
0,4.61535747221497e-05,"[0 1 0 1 1 1 1 0 0 1 0 1 0 1 0 1 0 0 0 1 0 0 1 0 1 0 1 1 0 0 1 0 1 0 1 0 0 0 1 0]"
0,0.0033505002758968724,"[1 0 0 1 0 0 0 0 1 1 0 0 1 0 1 1 0 1 0 0 1 0 1 1 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1]"
0,0.19306531144480105,"[1 1 0 1 1 0 0 1 0 0 1 0 1 1 0 0 1 1 0 1 1 1 1 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 1]"
0,0.26598567182011695,"[1 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 1 1 1 1 0 1 0 0 0 1 1 1 0 0 1 0 0 1 1 1 0]"
0,0.02547623221672329,"[1 0 1 1 0 0 0 1 0 1 0 1 1 0 1 1 1 1 1 0 1 1 1 0 0 0 1 1 0 1 1 1 0 0 1 0 1 1 0 0]"
0,4.61535747221497e-05,"[0 1 0 1 1 1 1 0 0 1 0 1 0 1 0 1 0 0 0 1 0 0 1 0 1 0 1 1 0 0 1 0 1 0 1 0 0 0 1 0]"
0,0.4357961451655464,"[1 1 1 0 1 0 1 1 1 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 1 0 1 1 1 0 0 0 1 1 0 1 0 1 0]"
0,0.4642187082993213,"[1 1 1 0 1 1 0 1 0 0 0 1 0 1 1 0 1 1 1 0 0 1 1 0 0 0 1 1 0 0 1 0 0 0 0 0 1 1 0 0]"
0,0.4642187082993213,"[1 1 1 0 1 1 0 1 0 0 0 1 0 1 1 0 1 1 1 0 0 1 1 0 0 0 1 1 0 0 1 0 0 0 0 0 1 1 0 0]"
0,0.49177999174778864,"[1 1 1 0 1 1 1 0 0 1 1 1 0 1 0 1 1 1 1 1 1 0 0 0 1 1 1 1 0 0 0 0 1 0 1 1 0 1 0 1]"
0,3.1433399124567616e-06,"[0 1 0 0 1 0 0 0 0 0 0 1 1 0 1 1 0 1 1 1 0 1 1 0 1 0 0 0 1 1 0 1 1 1 1 0 0 0 1 1]"
0,0.005022323818318477,"[1 0 0 1 0 1 1 0 1 1 0 0 0 1 1 0 0 1 1 1 1 1 1 1 0 1 1 0 1 0 0 1 0 0 0 0 1 1 0 1]"
0,0.26598567182011695,"[1 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 1 1 1 1 0 1 0 0 0 1 1 1 0 0 1 0 0 1 1 1 0]"
0,0.09783379883648881,"[1 1 0 0 1 0 1 0 1 1 1 0 0 1 1 1 0 0 1 1 0 1 1 0 1 1 1 0 1 0 0 1 0 0 1 0 1 1 0 0]"
0,0.027433123058726673,"[1 0 1 1 0 0 1 0 1 0 1 0 1 1 0 1 0 0 1 1 0 0 0 0 1 0 0 0 1 1 0 1 1 0 1 1 0 0 0 1]"
0,0.09719864407885796,"[1 1 0 0 1 0 1 0 1 1 0 0 0 1 0 1 0 1 1 0 0 1 0 0 1 0 1 0 0 0 0 1 1 0 1 1 0 0 1 1]"
0,0.4642187082993213,"[1 1 1 0 1 1 0 1 0 0 0 1 0 1 1 0 1 1 1 0 0 1 1 0 0 0 1 1 0 0 1 0 0 0 0 0 1 1 0 0]"
0,0.49177999174778864,"[1 1 1 0 1 1 1 0 0 1 1 1 0 1 0 1 1 1 1 1 1 0 0 0 1 1 1 1 0 0 0 0 1 0 1 1 0 1 0 1]"
0,0.4642187082993213,"[1 1 1 0 1 1 0 1 0 0 0 1 0 1 1 0 1 1 1 0 0 1 1 0 0 0 1 1 0 0 1 0 0 0 0 0 1 1 0 0]"
0,0.027433123058726673,"[1 0 1 1 0 0 1 0 1 0 1 0 1 1 0 1 0 0 1 1 0 0 0 0 1 0 0 0 1 1 0 1 1 0 1 1 0 0 0 1]"
0,0.015297392487888974,"[1 0 1 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 1 1 0 0 1 1 0 0 1 1 0 1 0 0 1 0 1 1 0 0]"
0,0.22159749065293483,"[1 1 0 1 1 1 0 0 0 0 1 1 0 0 0 0 0 1 1 1 1 1 0 1 1 1 1 0 0 0 1 0 0 0 1 1 1 0 0 0]"
0,0.3315391595147914,"[1 1 1 0 0 1 0 1 0 0 1 1 1 1 0 1 1 1 0 1 1 0 1 0 0 0 0 1 1 0 1 0 1 1 0 1 1 1 1 0]"
