step,fitness,genome
0,0.6823751220319919,"[1 1 1 1 0 1 1 0 0 1 1 0 0 1 1 0 1 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 1 0
 0 1 0]"
0,6.359835106634387e-05,"[0 1 1 0 0 0 0 1 0 1 1 0 0 1 1 1 1 1 0 1 1 1 1 0 1 0 0 1 0 1 1 0 1 0 1 0 1
 1 0 1]"
0,0.7982006397728432,"[1 1 1 1 1 0 1 0 0 1 0 0 1 0 1 1 0 1 0 1 1 1 1 1 0 1 0 0 1 0 1 0 0 1 0 1 1
 0 0 1]"
0,0.5768123118979506,"[1 1 1 1 0 0 1 0 0 1 0 0 1 0 1 1 0 1 0 1 1 1 1 1 0 1 0 0 1 0 1 0 0 1 0 1 1
 0 0 1]"
0,0.28004408056111224,"[1 1 1 0 0 0 0 1 0 1 1 0 0 1 1 1 1 0 0 0 1 1 1 0 0 0 0 1 0 1 1 1 1 0 0 0 1
 1 0 1]"
0,0.6794321953601462,"[1 1 1 1 0 1 1 0 0 1 0 0 1 0 1 1 0 1 0 1 1 1 1 1 0 1 0 0 1 0 1 0 0 1 1 1 1
 0 0 1]"
0,0.28623188440758435,"[1 1 1 0 0 0 0 1 1 1 1 0 0 1 0 1 1 1 0 0 1 1 1 0 0 0 1 1 0 1 0 0 1 1 1 0 1
 1 0 1]"
0,0.13421892631833254,"[1 1 0 1 0 0 0 1 0 1 1 0 1 0 1 1 1 1 1 0 1 0 0 1 1 1 0 0 1 1 1 0 1 0 0 1 1
 1 0 1]"
0,0.15112306652496435,"[1 1 0 1 0 0 1 1 1 1 1 0 1 0 1 1 1 0 1 0 1 0 0 0 0 0 1 0 1 0 0 1 0 1 1 1 1
 0 1 1]"
0,0.5768123118536079,"[1 1 1 1 0 0 1 0 0 1 0 0 1 0 1 1 0 1 0 1 1 1 1 1 0 1 0 0 1 0 1 0 0 1 0 1 0
 0 0 1]"
0,0.04128644753360479,"[1 0 1 1 1 0 1 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 1 0 0 1
 0 1 0]"
0,0.6261327619274986,"[1 1 1 1 0 1 0 0 0 1 0 0 1 0 1 0 0 1 0 1 1 1 1 1 0 1 0 0 1 1 1 0 0 0 0 1 1
 0 0 1]"
0,0.5771843926150272,"[1 1 1 1 0 0 1 0 0 1 0 0 1 1 1 1 0 1 0 1 1 1 1 1 0 1 0 0 1 0 1 0 0 1 0 1 1
 0 0 1]"
0,0.6832410175300703,"[1 1 1 1 0 1 1 0 0 1 1 0 1 1 1 0 1 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 1 1 1 0 0
 0 1 0]"
0,0.10333588695324457,"[1 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 1 1 0 1 1 1 1 0 1 0 0 0 1
 1 1 1]"
0,0.5768123118979506,"[1 1 1 1 0 0 1 0 0 1 0 0 1 0 1 1 0 1 0 1 1 1 1 1 0 1 0 0 1 0 1 0 0 1 0 1 1
 0 0 1]"
0,0.5768123090600237,"[1 1 1 1 0 0 1 0 0 1 0 0 1 0 1 1 0 1 0 1 1 1 1 1 0 1 0 0 1 0 0 0 0 1 0 1 1
 0 0 1]"
0,0.6754832496214093,"[1 1 1 1 0 1 1 0 0 0 1 0 0 1 1 0 1 0 1 0 0 0 0 1 0 0 1 1 1 0 0 0 1 1 1 1 0
 0 1 0]"
0,0.3040176880567075,"[1 1 1 0 0 0 1 1 0 1 0 0 0 0 1 1 0 1 1 1 1 0 1 0 0 0 1 1 0 1 1 0 1 0 0 1 1
 1 1 1]"
0,0.13740680496716853,"[1 1 0 1 0 0 0 1 1 1 1 0 1 0 0 1 1 1 1 0 1 0 0 0 0 1 1 0 1 1 0 0 1 1 0 1 1
 1 0 1]"
0,0.6972309891883032,"[1 1 1 1 0 1 1 0 1 1 1 0 1 1 1 0 1 0 1 0 0 0 0 1 0 0 1 1 1 0 0 0 1 1 1 1 0
 0 1 1]"
0,0.6823751484427577,"[1 1 1 1 0 1 1 0 0 1 1 0 0 1 1 0 1 0 1 0 0 0 0 1 0 0 1 1 1 0 0 0 1 1 1 1 0
 0 1 0]"
0,0.19081283429658624,"[1 1 0 1 1 0 0 0 1 1 1 0 1 0 1 1 1 0 1 0 1 0 1 0 0 0 0 0 1 0 0 1 0 1 1 1 1
 1 1 1]"
0,0.08062895509929358,"[1 1 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 1 1 0 1 1 1 1 0 1 0 1 1 1
 0 1 1]"
0,0.3544687218303016,"[1 1 1 0 0 1 1 0 1 1 0 0 0 1 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 0 1 1
 1 0 1]"
step,fitness,genome
1,0.5760687979747698,"[1 1 1 1 0 0 1 0 0 1 0 0 0 0 1 1 0 1 0 1 1 1 1 1 0 1 0 0 1 0 1 0 0 1 0 1 0
 0 0 1]"
1,0.6823751220319919,"[1 1 1 1 0 1 1 0 0 1 1 0 0 1 1 0 1 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 1 0
 0 1 0]"
1,0.0004683741915736414,"[0 1 1 1 0 1 1 0 1 1 1 0 1 1 1 0 1 0 1 0 0 0 0 1 0 0 1 1 1 0 0 0 1 0 1 1 0
 0 1 1]"
1,0.7982006397728432,"[1 1 1 1 1 0 1 0 0 1 0 0 1 0 1 1 0 1 0 1 1 1 1 1 0 1 0 0 1 0 1 0 0 1 0 1 1
 0 0 1]"
1,0.6823615998471267,"[1 1 1 1 0 1 1 0 0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 1 0
 0 1 1]"
1,0.7986990683448181,"[1 1 1 1 1 0 1 0 0 1 0 0 1 1 1 1 0 1 0 1 1 1 1 1 0 1 0 0 1 0 1 0 0 1 0 1 1
 0 0 1]"
1,0.5771844123589435,"[1 1 1 1 0 0 1 0 0 1 0 0 1 1 1 1 0 1 0 1 1 1 1 1 0 1 0 1 1 0 0 0 0 1 0 0 0
 0 0 1]"
1,0.6850843466269326,"[1 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 1 0
 0 1 0]"
1,0.7982006397728432,"[1 1 1 1 1 0 1 0 0 1 0 0 1 0 1 1 0 1 0 1 1 1 1 1 0 1 0 0 1 0 1 0 0 1 0 1 1
 0 0 1]"
1,0.576810858881027,"[1 1 1 1 0 0 1 0 0 1 0 0 1 0 1 1 0 1 0 1 1 0 1 1 0 1 0 0 1 0 1 0 0 1 0 1 1
 0 0 1]"
1,0.6823751245595847,"[1 1 1 1 0 1 1 0 0 1 1 0 0 1 1 0 1 0 1 0 0 0 0 1 0 0 1 0 1 0 1 0 0 1 1 1 1
 0 1 0]"
1,0.681158299172654,"[1 1 1 1 0 1 1 0 0 1 0 1 1 0 1 1 0 1 0 1 1 1 1 1 0 1 0 0 1 0 0 0 1 1 1 1 0
 0 0 1]"
1,0.5771843926150272,"[1 1 1 1 0 0 1 0 0 1 0 0 1 1 1 1 0 1 0 1 1 1 1 1 0 1 0 0 1 0 1 0 0 1 0 1 1
 0 0 1]"
1,0.6989978484771632,"[1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 0 1 0 1 0 0 0 0 1 0 1 1 1 1 1 0 0 1 1 1 1 0
 0 1 1]"
1,0.5768064998500216,"[1 1 1 1 0 0 1 0 0 1 0 0 1 0 1 1 0 1 0 0 1 1 1 1 0 1 0 0 1 0 1 0 0 1 0 1 1
 0 0 1]"
1,0.20324807496707603,"[1 1 0 1 1 0 1 0 0 1 0 0 1 0 1 1 0 1 0 1 1 1 1 0 0 1 0 0 1 0 0 0 0 1 0 1 0
 0 0 1]"
1,0.7982006397728432,"[1 1 1 1 1 0 1 0 0 1 0 0 1 0 1 1 0 1 0 1 1 1 1 1 0 1 0 0 1 0 1 0 0 1 0 1 1
 0 0 1]"
1,0.7981967478523405,"[1 1 1 1 1 0 1 0 0 1 0 0 1 0 1 1 0 1 0 1 0 1 1 1 0 1 0 0 1 0 1 0 1 1 0 1 1
 0 0 1]"
1,0.6902041294046908,"[1 1 1 1 0 1 1 0 1 0 1 0 1 1 1 0 1 0 1 0 0 0 0 1 0 0 1 1 1 0 0 0 1 1 1 1 0
 0 1 0]"
1,0.6823751220384399,"[1 1 1 1 0 1 1 0 0 1 1 0 0 1 1 0 1 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 1 0
 0 1 1]"
1,0.6823751484427577,"[1 1 1 1 0 1 1 0 0 1 1 0 0 1 1 0 1 0 1 0 0 0 0 1 0 0 1 1 1 0 0 0 1 1 1 1 0
 0 1 0]"
1,0.6823751088266092,"[1 1 1 1 0 1 1 0 0 1 1 0 0 1 1 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 1 1 0
 0 1 0]"
1,0.978935533501012,"[1 1 1 1 1 1 1 1 0 1 1 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 1 1 0
 0 1 0]"
1,0.34892854516215016,"[1 1 1 0 0 1 1 0 0 1 1 0 1 0 1 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 1 1 0
 0 1 0]"
1,0.682374725870614,"[1 1 1 1 0 1 1 0 0 1 1 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 1 1 1 1 0
 0 1 0]"
step,fitness,genome
2,0.802008246548426,"[1 1 1 1 1 0 1 0 0 1 1 0 1 0 0 1 1 1 0 1 1 1 1 1 0 1 0 0 1 1 1 0 0 1 0 1 1
 0 0 1]"
